Cler_surn	Cler_fore
Addenbrooke	Johannes
Addenbrooke	John
Addenbrooke	Nicholas
Addenbrooke	Nicholaus
Addenbrooke	Nicolas
Addenbrooke	Samuel
Addenbrooke	Samuelis
Addenbrooke	Thomas
Adderley	George William Bowyer
Adderley	Henry
Adderley	Robert
Adderley	Thomas
Adderly	Henry
Adderly	Thomas
Adderton	Joseph
Addeson	Johannes
Addey	Christoferus
Addington	Carolus
Addington	Harmanus
Addington	Henry
Addington	Joseph
Addington	Richard
Addington	William
Addington	William Leonard
Addison	Antonius
Addison	Daniel
Addison	Edward
Addison	Edwardus
Addison	George
Addison	Gulielmus
Addison	Henry
Addison	Jacobus
Addison	James
Addison	John
Addison	Joseph
Addison	Leonard
Addison	Leonardum
Addison	Philippus
Addison	Phillipus
Addison	Richard
Addison	Robert
Addison	Robertum
Addison	Robertus
Addison	Thomas
Addison	William
Addison	William Thomas
Addison	Willimus
Addison	Willmus
Addison Carr	John
Addye	Robertus
Addye	Thomas
Addyson	Johannes
Adeane	William
Adec	Herb
Adecotte	Thomas
Adee	Herbertus
Adee	Johannes
Adee	Nicholaus
Adenbrooke	Thomas
Adeney	John
Aderton	Richardus
Adey	John
Adey	William
Adgar	Jacobus
Adiectyne	Ricardus
Adin	Robertus
Adin	Thomas
Adingsells	Charles
Adkin	Lancaster
Adkin	Robert
Adkin	William
Adkins	Jacobus
Adkyns	Willimus
Adlam	William
Adlard	Michael
Adley	William
Adney	Georgius
Adney	John
Adney	Richard
Adnutt	Robert Thomas
Adnutt	Thomas
Adrian	Barthus
Adryan	Barthus
Adshead	Jeremias
Adson	Nicholaus
Adye	Nicholas
Adye	Nicolas
Aeatonus	Matheus
Aecher	Eduardus
Aelmer	Johannes
Aerton	Edvardus
Aerton	Edward
Aery	Henry
Aesling	Richardus
Affleck	Gilbert
Affleck	James Danby
Affleck	John
Affleck	Robert
Affleck	William
Afleck	James
After	Johannes
Agar	Charles
Agar	Gulielmus
Agar	Henry
Agar	James
Agar	Johannes
Agar	John Ellis
Agar	Moses
Agar	Seth
Agar	Thomas
Agas	Daniel
Agas	Edwardus
Agas	Eligeus
Agas	Robertus
Agas	Thomas
Agashan	Alexander
Agassiz	Robert
Agate	Gulielmus
Agate	Johannes
Agate	William
Ager	Thomas
Ager	William
Aggas	Anthonius
Aggas	Edvardus
Aggas	Edwardus
Aggas	William
